Wavelength,Spectra 1,Spectra 2,Spectra 3,Spectra 4,Spectra 5
405,0.750444,0.680509,0.619863,0.838521,0.66419
406,0.760639,0.68156,0.62055,0.846915,0.67156
407,0.768081,0.687029,0.621815,0.851169,0.678435
408,0.77389,0.697856,0.624946,0.853839,0.684723
409,0.782837,0.702497,0.626117,0.861082,0.690622
410,0.786986,0.70443,0.632654,0.866532,0.697609
411,0.789325,0.706364,0.638932,0.872169,0.703172
412,0.793299,0.718215,0.640989,0.878308,0.705877
413,0.80042,0.719601,0.642663,0.879197,0.70636
414,0.802293,0.71912,0.640839,0.880138,0.706844
415,0.801057,0.718843,0.640519,0.881174,0.707328
416,0.801354,0.718565,0.6402,0.881063,0.707812
417,0.801197,0.716621,0.63988,0.88125,0.708296
418,0.798804,0.715931,0.63904,0.880648,0.7075
419,0.795305,0.714294,0.630529,0.878346,0.701967
420,0.793759,0.706188,0.626828,0.873859,0.695163
421,0.790466,0.700146,0.625311,0.868599,0.692302
422,0.786494,0.695157,0.623707,0.864934,0.688516
423,0.78201,0.689613,0.620771,0.862673,0.681248
424,0.77391,0.683991,0.617375,0.856744,0.675523
425,0.765605,0.676364,0.612315,0.850222,0.666821
426,0.757239,0.66662,0.605549,0.842183,0.657176
427,0.748158,0.656014,0.598101,0.831815,0.649256
428,0.739503,0.649021,0.594018,0.824238,0.638673
429,0.72869,0.639472,0.587706,0.816451,0.629572
430,0.717105,0.627091,0.579641,0.807912,0.622175
431,0.709027,0.616594,0.575047,0.800337,0.613516
432,0.701371,0.609246,0.570525,0.794156,0.604541
433,0.69711,0.604446,0.567039,0.789856,0.598818
434,0.697088,0.601865,0.565641,0.788359,0.597588
435,0.696325,0.602799,0.566611,0.792183,0.597147
436,0.698548,0.603635,0.56716,0.793927,0.598209
437,0.702716,0.605056,0.567432,0.796073,0.60092
438,0.706945,0.608961,0.568736,0.802382,0.605226
439,0.71304,0.615759,0.57258,0.805498,0.610654
440,0.72037,0.622418,0.576968,0.811153,0.61737
441,0.728402,0.628956,0.580822,0.819588,0.625021
442,0.736702,0.637809,0.584123,0.826054,0.632791
443,0.742493,0.644205,0.588393,0.83179,0.639568
444,0.749158,0.650931,0.593026,0.83761,0.646795
445,0.758348,0.65985,0.597442,0.843949,0.655096
446,0.765972,0.668484,0.602053,0.850682,0.662545
447,0.773111,0.675273,0.605885,0.856396,0.669156
448,0.780421,0.681322,0.609227,0.861775,0.675865
449,0.78814,0.68856,0.612794,0.867984,0.683618
450,0.794666,0.697096,0.616706,0.874086,0.691294
451,0.801303,0.704614,0.620675,0.879771,0.698155
452,0.808321,0.71067,0.624343,0.884842,0.70435
453,0.81477,0.716792,0.627355,0.889189,0.710819
454,0.82008,0.723533,0.630427,0.894062,0.717118
455,0.825196,0.730175,0.633347,0.898181,0.722532
456,0.830635,0.73583,0.635811,0.900874,0.726898
457,0.835011,0.739781,0.637666,0.904335,0.731566
458,0.838774,0.743508,0.639948,0.907101,0.735382
459,0.842464,0.74732,0.642288,0.909432,0.738772
460,0.846395,0.750959,0.643781,0.912089,0.742601
461,0.848932,0.75443,0.644755,0.913433,0.745361
462,0.850963,0.757418,0.646072,0.914744,0.747898
463,0.853084,0.75986,0.647663,0.916522,0.750552
464,0.855231,0.762012,0.648276,0.91799,0.752787
465,0.857009,0.764063,0.649411,0.918747,0.754617
466,0.858726,0.765943,0.650361,0.919386,0.75636
467,0.860531,0.767511,0.650418,0.920364,0.758139
468,0.861452,0.768525,0.650507,0.920817,0.759204
469,0.862346,0.769937,0.651134,0.921084,0.75974
470,0.863591,0.771541,0.652037,0.921685,0.760399
471,0.86516,0.772511,0.652522,0.922985,0.761959
472,0.866405,0.773424,0.652635,0.923183,0.763793
473,0.867691,0.774362,0.653065,0.923381,0.764941
474,0.86881,0.775276,0.65374,0.923579,0.765282
475,0.869162,0.775963,0.653851,0.923778,0.76601
476,0.869514,0.777201,0.653962,0.923978,0.767284
477,0.871558,0.778815,0.654073,0.92474,0.768611
478,0.872539,0.780254,0.654184,0.925433,0.769485
479,0.872753,0.780702,0.654449,0.925661,0.770408
480,0.873241,0.781456,0.654619,0.925827,0.771255
481,0.874265,0.78267,0.654779,0.925993,0.771875
482,0.87541,0.783554,0.654962,0.926159,0.77218
483,0.876682,0.784429,0.655294,0.926432,0.773136
484,0.877771,0.785748,0.655627,0.927002,0.774231
485,0.878583,0.787332,0.655959,0.92795,0.775078
486,0.879584,0.787449,0.656087,0.928182,0.776113
487,0.880346,0.788328,0.656215,0.928413,0.777389
488,0.881045,0.789778,0.656602,0.928873,0.778527
489,0.882017,0.790815,0.656756,0.929032,0.779192
490,0.883047,0.791808,0.65691,0.92919,0.780392
491,0.884141,0.792893,0.657301,0.930305,0.781543
492,0.885232,0.794133,0.657428,0.930753,0.782535
493,0.886159,0.795519,0.657929,0.931314,0.783879
494,0.887276,0.797106,0.658379,0.93201,0.785141
495,0.88871,0.798254,0.658935,0.932656,0.786292
496,0.890296,0.798792,0.659657,0.933139,0.787379
497,0.891132,0.800262,0.65991,0.933671,0.788348
